ingredient_name,foodtable_id,foodtable_name
ドッグパン,1028,こむぎ　［パン類］　コッペパン
ウインナー,11186,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ
有塩バター,14017,（バター類）　無発酵バター　有塩バター
粒マスタード,17060,＜香辛料類＞　からし　粒入りマスタード
トマトケチャップ,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ
卵,12004,鶏卵　全卵　生
マヨネーズ,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型
塩,17012,＜調味料類＞　（食塩類）　食塩
粉チーズ,13038,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　パルメザン
油,14006,（植物油脂類）　調合油
パセリ,6239,パセリ　葉　生
ミニトマト,6183,（トマト類）　赤色ミニトマト　果実　生
玉ねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
こしょう,17064,＜香辛料類＞　こしょう　白　粉
乾燥パセリ,17078,＜香辛料類＞　パセリ　乾
バナナ,7107,バナナ　生
米,1083,こめ　［水稲穀粒］　精白米　うるち米
いわし,10047,＜魚類＞　（いわし類）　まいわし　生
梅干し,7023,うめ　梅干し　調味漬
しそ,6095,しそ　葉　生
薄力粉,1015,こむぎ　［小麦粉］　薄力粉　1等
乾燥パン粉,1079,こむぎ　［その他］　パン粉　乾燥
キャベツ,6061,（キャベツ類）　キャベツ　結球葉　生
にんじん,6212,（にんじん類）　にんじん　根　皮つき　生
なす,6191,（なす類）　なす　果実　生
豚ひき肉,11163,＜畜肉類＞　ぶた　［ひき肉］　生
しょうが,6103,（しょうが類）　しょうが　根茎　皮なし　生
しょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
砂糖,3003,（砂糖類）　車糖　上白糖
料理酒,17138,＜調味料類＞　（その他）　料理酒
出汁,17019,＜調味料類＞　（だし類）　かつおだし　荒節
小松菜,6086,こまつな　葉　生
ねぎ,6226,（ねぎ類）　根深ねぎ　葉　軟白　生
味噌,17045,＜調味料類＞　（みそ類）　米みそ　淡色辛みそ
コーヒーゼリー,15088,＜デザート菓子類＞　ゼリー　コーヒー
木綿豆腐,4032,だいず　［豆腐・油揚げ類］　木綿豆腐
じゃがいも,2063,＜いも類＞　じゃがいも　塊茎　皮つき　生
にんにく,6223,（にんにく類）　にんにく　りん茎　生
おろししょうが,17069,＜香辛料類＞　しょうが　おろし
みりん,16025,＜アルコール飲料類＞　（混成酒類）　みりん　本みりん
鶏ささみ,11227,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　生
セロリ,6119,セロリ　葉柄　生
オリーブ油,14001,（植物油脂類）　オリーブ油
酢,17015,＜調味料類＞　（食酢類）　穀物酢
かぼちゃ,6048,（かぼちゃ類）　西洋かぼちゃ　果実　生
ピーナッツ,5034,らっかせい　大粒種　乾
すりごま（白）,5019,ごま　むき
鶏もも肉,11221,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　生
板こんにゃく,2003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく
ごま油,14002,（植物油脂類）　ごま油
だいこん,6132,（だいこん類）　だいこん　根　皮つき　生
シーチキン,10260,＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト
たまごふりかけ,17127,＜調味料類＞　（その他）　ふりかけ　たまご
茹でうどん,1039,こむぎ　［うどん・そうめん類］　うどん　ゆで
豚バラ肉,11129,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生
卵黄,12010,鶏卵　卵黄　生
トマト,6182,（トマト類）　赤色トマト　果実　生
サニーレタス,6315,（レタス類）　サニーレタス　葉　生
めんつゆ,17030,＜調味料類＞　（だし類）　めんつゆ　三倍濃縮
焼肉のタレ,17113,＜調味料類＞　（調味ソース類）　焼き肉のたれ
おろしにんにく,17076,＜香辛料類＞　にんにく　おろし
にんにく　,6223,（にんにく類）　にんにく　りん茎　生
ロースハム,11176,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム
ズッキーニ　,6116,ズッキーニ　果実　生
パイナップル,7097,パインアップル　生
りんごジュース,7149,りんご　果実飲料　ストレートジュース
塩蔵くらげ,10370,＜その他＞　くらげ　塩蔵　塩抜き
ピーマン,6245,（ピーマン類）　青ピーマン　果実　生
もやし,6291,（もやし類）　りょくとうもやし　生
顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
あさつき　,6003,あさつき　葉　生
ヨーグルト,13025,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖
ベーコン,11183,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ばらベーコン　
オクラ　,6032,オクラ　果実　生
乾燥ひじき,9050,ひじき　ほしひじき　ステンレス釜　乾
コーン缶,6180,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル
レモン汁,7156,（かんきつ類）　レモン　果汁　生
味付けのり,9005,あまのり　味付けのり
さつまいも,2045,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生
油揚げ　,4040,だいず　［豆腐・油揚げ類］　油揚げ　生
鶏むね肉,11219,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　生
ウスターソース,17001,＜調味料類＞　（ウスターソース類）　ウスターソース
みずな,6072,みずな　葉　生
ちりめんじゃこ,10056,＜魚類＞　（いわし類）　しらす干し　半乾燥品
豆苗,6019,（えんどう類）　トウミョウ　茎葉　生
ウインナーソーセージ,11186,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ
白桃缶,7138,（もも類）　もも　缶詰　白肉種　果肉
無調整豆乳,4052,だいず　［その他］　豆乳　豆乳
粉寒天,9049,てんぐさ　粉寒天
長ねぎ,6226,（ねぎ類）　根深ねぎ　葉　軟白　生
かたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
マカロニ,1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾
えだまめ　,6015,えだまめ　生
梅びしお,7024,うめ　梅びしお
オレンジ,7041,（かんきつ類）　オレンジ　バレンシア　米国産　砂じょう　生
まあじ,10006,＜魚類＞　（あじ類）　まあじ　開き干し　生
ししとう,6093,（ししとう類）　ししとう　果実　生
カットわかめ　,9040,わかめ　乾燥わかめ　素干し
乾燥金時豆,4007,いんげんまめ　全粒　乾
牛もも肉,11075,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生
●おろしにんにく,17076,＜香辛料類＞　にんにく　おろし
●しょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
●料理酒,17138,＜調味料類＞　（その他）　料理酒
●みりん,16025,＜アルコール飲料類＞　（混成酒類）　みりん　本みりん
●豆板醤,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
●砂糖,3003,（砂糖類）　車糖　上白糖
●いりごま（白）　,5018,ごま　いり
●ごま油,14002,（植物油脂類）　ごま油
●塩,17012,＜調味料類＞　（食塩類）　食塩
温泉卵,12006,鶏卵　全卵　ポーチドエッグ
塩蔵もずく,9038,（もずく類）　もずく　塩蔵　塩抜き
かにかま,10376,＜水産練り製品＞　かに風味かまぼこ
モロヘイヤ　,6293,モロヘイヤ　茎葉　生
きゅうり　,6065,きゅうり　果実　生
穀物酢,17015,＜調味料類＞　（食酢類）　穀物酢
手毬麩,1066,こむぎ　［ふ類］　焼きふ　釜焼きふ
貝割れだいこん,6128,（だいこん類）　かいわれだいこん　芽ばえ　生
A砂糖,3003,（砂糖類）　車糖　上白糖
A顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
A塩,17012,＜調味料類＞　（食塩類）　食塩
Aレモン汁,7156,（かんきつ類）　レモン　果汁　生
B料理酒,17138,＜調味料類＞　（その他）　料理酒
Bおろししょうが,17069,＜香辛料類＞　しょうが　おろし
B塩,17012,＜調味料類＞　（食塩類）　食塩
しめじ,8016,（しめじ類）　ぶなしめじ　生
エリンギ　,8025,（ひらたけ類）　エリンギ　生
えのきたけ　,8001,えのきたけ　生
●酢,17015,＜調味料類＞　（食酢類）　穀物酢
●こしょう,17064,＜香辛料類＞　こしょう　白　粉
●オリーブ油,14001,（植物油脂類）　オリーブ油
●とうがらし（乾）,6172,とうがらし　果実　乾
和梨,7088,（なし類）　日本なし　生
●油,14006,（植物油脂類）　調合油
油揚げ,4040,だいず　［豆腐・油揚げ類］　油揚げ　生
しらたき,2005,＜いも類＞　こんにゃく　しらたき
●出汁,17020,＜調味料類＞　（だし類）　昆布だし　水出し
だいこん　,6132,（だいこん類）　だいこん　根　皮つき　生
とろろ昆布,9021,（こんぶ類）　削り昆布
赤パプリカ,6247,（ピーマン類）　赤ピーマン　果実　生
黄パプリカ,6249,（ピーマン類）　黄ピーマン　果実　生
たまねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
●トマトソース,17037,＜調味料類＞　（トマト加工品類）　トマトソース
●顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
●チリパウダー,17072,＜香辛料類＞　チリパウダー
ゴーヤ,6205,にがうり　果実　生
アボカド　,7006,アボカド　生
●マヨネーズ,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型
●カレー粉,17061,＜香辛料類＞　カレー粉
●牛乳,13003,＜牛乳及び乳製品＞　（液状乳類）　普通牛乳
無糖ヨーグルト,13025,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖
みかん缶,7035,（かんきつ類）　うんしゅうみかん　缶詰　果肉
キウイフルーツ　,7054,キウイフルーツ　緑肉種　生
さわら,10171,＜魚類＞　さわら　生
●すだち果汁,7079,（かんきつ類）　すだち　果汁　生
すだち,7078,（かんきつ類）　すだち　果皮　生
乾燥高野豆腐,4042,だいず　［豆腐・油揚げ類］　凍り豆腐　乾
きぬさや,6020,（えんどう類）　さやえんどう　若ざや　生
●出汁,17019,＜調味料類＞　（だし類）　かつおだし　荒節
はんぺん,10385,＜水産練り製品＞　はんぺん
みょうが　,6280,（みょうが類）　みょうが　花穂　生
●顆粒和風だし,17028,＜調味料類＞　（だし類）　顆粒和風だし
●練りわさび,17081,＜香辛料類＞　わさび　練り
コーヒー牛乳,16047,＜コーヒー・ココア類＞　コーヒー　コーヒー飲料　乳成分入り　加糖
食パン,1026,こむぎ　［パン類］　角形食パン　食パン
ブルーベリージャム,7125,ブルーベリー　ジャム
マーガリン,14020,（マーガリン類）　マーガリン　家庭用　有塩
乾燥マカロニ,1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾
●無塩トマトジュース,6340,（トマト類）　加工品　トマトジュース　食塩無添加
ブロッコリー　,6263,ブロッコリー　花序　生
茹でたこ,10362,＜いか・たこ類＞　（たこ類）　まだこ　ゆで
バター,14017,（バター類）　無発酵バター　有塩バター
グレープフルーツ,7062,（かんきつ類）　グレープフルーツ　白肉種　砂じょう　生
牛乳,13003,＜牛乳及び乳製品＞　（液状乳類）　普通牛乳
鮭,10130,＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　生
マヨネーズ　,17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型
ピクルス,6069,きゅうり　漬物　ピクルス　スイート型
サラダな,6313,（レタス類）　サラダな　葉　生
きゅうり,6065,きゅうり　果実　生
●顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
●いりごま（白）,5018,ごま　いり
カットわかめ,9040,わかめ　乾燥わかめ　素干し
むきえび,10415,＜えび・かに類＞　（えび類）　バナメイえび　養殖　生
絹ごし豆腐,4033,だいず　［豆腐・油揚げ類］　絹ごし豆腐
●すりごま（白）　,5019,ごま　むき
 ●顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
 ●塩,17012,＜調味料類＞　（食塩類）　食塩
 ●こしょう,17064,＜香辛料類＞　こしょう　白　粉
レモン汁　,7156,（かんきつ類）　レモン　果汁　生
●練りわさび　,17081,＜香辛料類＞　わさび　練り
スパゲッティ,1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾
いか,10345,＜いか・たこ類＞　（いか類）　するめいか　生
A顆粒和風だし,17028,＜調味料類＞　（だし類）　顆粒和風だし
Aレモン汁　,7156,（かんきつ類）　レモン　果汁　生
たまねぎ　,6153,（たまねぎ類）　たまねぎ　りん茎　生
しめじ　,8016,（しめじ類）　ぶなしめじ　生
まいたけ　,8028,まいたけ　生
しいたけ,8039,しいたけ　生しいたけ　菌床栽培　生
しそ　,6095,しそ　葉　生
牛ひき肉,11089,＜畜肉類＞　うし　［ひき肉］　生
Aカレー粉,17061,＜香辛料類＞　カレー粉
Aトマトケチャップ,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ
A中濃ソース,17002,＜調味料類＞　（ウスターソース類）　中濃ソース
Aしょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
紫たまねぎ　,6156,（たまねぎ類）　赤たまねぎ　りん茎　生
しょうが　,6103,（しょうが類）　しょうが　根茎　皮なし　生
トマト　,6182,（トマト類）　赤色トマト　果実　生
シュレッドチーズ,13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ
こまつな　,6086,こまつな　葉　生
にんじん　,6212,（にんじん類）　にんじん　根　皮つき　生
プリン,15086,＜デザート菓子類＞　カスタードプリン
キャベツ　,6061,（キャベツ類）　キャベツ　結球葉　生
A料理酒,17138,＜調味料類＞　（その他）　料理酒
Aおろししょうが,17069,＜香辛料類＞　しょうが　おろし
Bかたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
シュウマイ,18012,中国料理　点心類　しゅうまい
●めんつゆ,17030,＜調味料類＞　（だし類）　めんつゆ　三倍濃縮
納豆,4046,だいず　［納豆類］　糸引き納豆
板こんにゃく　,2003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく
いりごま（白）　,5018,ごま　いり
かつお節,10092,＜魚類＞　（かつお類）　加工品　削り節
えのきたけ,8001,えのきたけ　生
豚ロース肉,11123,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生
はくさいキムチ,6236,はくさい　漬物　キムチ
ぽん酢しょうゆ　,17110,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ
乾燥はるさめ,2039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾
中華ドレッシング,17104,＜調味料類＞　（調味ソース類）　中華風合わせ酢
塩蔵もずく　,9038,（もずく類）　もずく　塩蔵　塩抜き
チンゲンサイ　,6160,チンゲンサイ　葉　生
しいたけ　,8039,しいたけ　生しいたけ　菌床栽培　生
Aオイスターソース,17031,＜調味料類＞　（調味ソース類）　オイスターソース
C穀物酢,17015,＜調味料類＞　（食酢類）　穀物酢
Cラー油,17006,＜調味料類＞　（辛味調味料類）　ラー油
Cこしょう,17064,＜香辛料類＞　こしょう　白　粉
杏仁豆腐,15136,＜デザート菓子類＞　牛乳寒天
オレンジジュース,7042,（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース
黄パプリカ,6247,（ピーマン類）　赤ピーマン　果実　生
赤パプリカ,6249,（ピーマン類）　黄ピーマン　果実　生
B砂糖,3003,（砂糖類）　車糖　上白糖
B酢,17015,＜調味料類＞　（食酢類）　穀物酢
Bしょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
Bトマトケチャップ,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ
B顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
Cかたくり粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
ヤングコーン,6181,（とうもろこし類）　ヤングコーン　幼雌穂　生
人参,6212,（にんじん類）　にんじん　根　皮つき　生
レタス,6312,（レタス類）　レタス　土耕栽培　結球葉　生
フレンチドレッシング,17040,＜調味料類＞　（ドレッシング類）　分離液状ドレッシング　フレンチドレッシング　分離液状
ピーマン　,6245,（ピーマン類）　青ピーマン　果実　生
ミニトマト　,6183,（トマト類）　赤色ミニトマト　果実　生
ごぼう　,6084,（ごぼう類）　ごぼう　根　生
なめ茸,8003,えのきたけ　味付け瓶詰
ほうれんそう　,6267,ほうれんそう　葉　通年平均　生
豚もも肉,11130,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生
なす　,6191,（なす類）　なす　果実　生
カレールウ,17051,＜調味料類＞　（ルウ類）　カレールウ
らっきょう　,6306,（らっきょう類）　らっきょう　甘酢漬
福神漬,6143,（だいこん類）　漬物　福神漬
紫キャベツ　,6064,（キャベツ類）　レッドキャベツ　結球葉　生
生揚げ,4039,だいず　［豆腐・油揚げ類］　生揚げ
フレンチドレッシング　,17149,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　フレンチドレッシング　乳化液状
生クリーム,13014,＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪
練乳,13013,＜牛乳及び乳製品＞　（練乳類）　加糖練乳
粉ゼラチン,11198,＜畜肉類＞　ぶた　［その他］　ゼラチン
黄桃缶,7175,（もも類）　もも　缶詰　黄肉種　果肉
●味噌,17045,＜調味料類＞　（みそ類）　米みそ　淡色辛みそ
●ナンプラー,17107,＜調味料類＞　（調味ソース類）　魚醤油　ナンプラー
●レモン汁,7156,（かんきつ類）　レモン　果汁　生
●おろししょうが,17069,＜香辛料類＞　しょうが　おろし
●おろしにんにく　,17076,＜香辛料類＞　にんにく　おろし
パクチー　,6385,コリアンダー　葉　生
水煮だいず,4028,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆
乾燥しいたけ,8013,しいたけ　乾しいたけ　乾
●出汁・しいたけ戻し汁,17022,＜調味料類＞　（だし類）　しいたけだし
めんつゆ　,17030,＜調味料類＞　（だし類）　めんつゆ　三倍濃縮
クロワッサン,1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ
モッツァレラチーズ,13056,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　モッツァレラ
リーフレタス　,6314,（レタス類）　リーフレタス　葉　生
こしょう　,17064,＜香辛料類＞　こしょう　白　粉
レンズ豆（水煮）,4094,レンズまめ　全粒　ゆで
Aじゃがいも　,2063,＜いも類＞　じゃがいも　塊茎　皮つき　生
Aにんじん,6212,（にんじん類）　にんじん　根　皮つき　生
Aたまねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
Aベーコン,11183,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ばらベーコン　
B顆粒コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
いんげん,6010,いんげんまめ　さやいんげん　若ざや　生
